omega,relative_evans_residual
0.18700000,2.226925e-01
0.18708050,2.213819e-01
0.18716101,2.200645e-01
0.18724151,2.187400e-01
0.18732201,2.174084e-01
0.18740252,2.160695e-01
0.18748302,2.147233e-01
0.18756352,2.133696e-01
0.18764403,2.120083e-01
0.18772453,2.106393e-01
0.18780503,2.092624e-01
0.18788553,2.078775e-01
0.18796604,2.064844e-01
0.18804654,2.050831e-01
0.18812704,2.036734e-01
0.18820755,2.022550e-01
0.18828805,2.008280e-01
0.18836855,1.993920e-01
0.18844906,1.979470e-01
0.18852956,1.964928e-01
0.18861006,1.950292e-01
0.18869057,1.935560e-01
0.18877107,1.920731e-01
0.18885157,1.905802e-01
0.18893208,1.890772e-01
0.18901258,1.875639e-01
0.18909308,1.860400e-01
0.18917358,1.845055e-01
0.18925409,1.829599e-01
0.18933459,1.814032e-01
0.18941509,1.798351e-01
0.18949560,1.782553e-01
0.18957610,1.766636e-01
0.18965660,1.750598e-01
0.18973711,1.734436e-01
0.18981761,1.718148e-01
0.18989811,1.701730e-01
0.18997862,1.685181e-01
0.19005912,1.668496e-01
0.19013962,1.651673e-01
0.19022013,1.634709e-01
0.19030063,1.617601e-01
0.19038113,1.600345e-01
0.19046164,1.582939e-01
0.19054214,1.565378e-01
0.19062264,1.547660e-01
0.19070314,1.529780e-01
0.19078365,1.511734e-01
0.19086415,1.493520e-01
0.19094465,1.475132e-01
0.19102516,1.456567e-01
0.19110566,1.437821e-01
0.19118616,1.418889e-01
0.19126667,1.399767e-01
0.19134717,1.380451e-01
0.19142767,1.360935e-01
0.19150818,1.341217e-01
0.19158868,1.321289e-01
0.19166918,1.301149e-01
0.19174969,1.280791e-01
0.19183019,1.260210e-01
0.19191069,1.239402e-01
0.19199119,1.218362e-01
0.19207170,1.197085e-01
0.19215220,1.175567e-01
0.19223270,1.153804e-01
0.19231321,1.131792e-01
0.19239371,1.109528e-01
0.19247421,1.087007e-01
0.19255472,1.064229e-01
0.19263522,1.041192e-01
0.19271572,1.017895e-01
0.19279623,9.943404e-02
0.19287673,9.705300e-02
0.19295723,9.464693e-02
0.19303774,9.221659e-02
0.19311824,8.976312e-02
0.19319874,8.728805e-02
0.19327925,8.479345e-02
0.19335975,8.228205e-02
0.19344025,7.975740e-02
0.19352075,7.722406e-02
0.19360126,7.468788e-02
0.19368176,7.215633e-02
0.19376226,6.963885e-02
0.19384277,6.714739e-02
0.19392327,6.469698e-02
0.19400377,6.230647e-02
0.19408428,5.999941e-02
0.19416478,5.780494e-02
0.19424528,5.575879e-02
0.19432579,5.390421e-02
0.19440629,5.229245e-02
0.19448679,5.098269e-02
0.19456730,5.004077e-02
0.19464780,4.953660e-02
0.19472830,4.953992e-02
0.19480881,5.011513e-02
0.19488931,5.131618e-02
0.19496981,5.318312e-02
0.19505031,5.574130e-02
0.19513082,5.900354e-02
0.19521132,6.297451e-02
0.19529182,6.765595e-02
0.19537233,7.305182e-02
0.19545283,7.917254e-02
0.19553333,8.603841e-02
0.19561384,9.368239e-02
0.19569434,1.021525e-01
0.19577484,1.115146e-01
0.19585535,1.218552e-01
0.19593585,1.332856e-01
0.19601635,1.459472e-01
0.19609686,1.600185e-01
0.19617736,1.757252e-01
0.19625786,1.933530e-01
0.19633836,2.132666e-01
0.19641887,2.359347e-01
0.19649937,2.619658e-01
0.19657987,2.921571e-01
0.19666038,3.275631e-01
0.19674088,3.695852e-01
0.19682138,4.200798e-01
0.19690189,4.814489e-01
0.19698239,5.565739e-01
0.19706289,6.481534e-01
0.19714340,7.562490e-01
0.19722390,8.718178e-01
0.19730440,9.667574e-01
0.19738491,9.977958e-01
0.19746541,9.460587e-01
0.19754591,8.414304e-01
0.19762642,7.253985e-01
0.19770692,6.201437e-01
0.19778742,5.313311e-01
0.19786792,4.577659e-01
0.19794843,3.965459e-01
0.19802893,3.448495e-01
0.19810943,3.003624e-01
0.19818994,2.612743e-01
0.19827044,2.261737e-01
0.19835094,1.939410e-01
0.19843145,1.636682e-01
0.19851195,1.346302e-01
0.19859245,1.063941e-01
0.19867296,7.948930e-02
0.19875346,5.875002e-02
0.19883396,6.208371e-02
0.19891447,1.044808e-01
0.19899497,1.907502e-01
0.19907547,3.707489e-01
0.19915597,8.412250e-01
0.19923648,7.280609e-01
0.19931698,3.596886e-01
0.19939748,2.006523e-01
0.19947799,1.021041e-01
0.19955849,6.042505e-02
0.19963899,1.837674e-01
0.19971950,5.815199e-01
0.19980000,8.057262e-01
